Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 11:04:50 2019,partial_shading,0.22,21.66,97.69,,full_shading,0.19,2.6,13.53
Thu Nov 21 11:04:51 2019,partial_shading,0.22,21.91,97.73,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:52 2019,partial_shading,0.22,21.78,97.67,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:53 2019,partial_shading,0.22,21.66,98.03,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:54 2019,partial_shading,0.21,21.29,97.63,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:55 2019,partial_shading,0.22,21.52,97.62,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:04:56 2019,partial_shading,0.22,21.52,97.65,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:04:57 2019,partial_shading,0.21,21.02,97.16,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:04:58 2019,partial_shading,0.21,21.02,97.12,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:04:59 2019,partial_shading,0.21,20.9,95.95,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:00 2019,partial_shading,0.21,20.78,95.57,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:05:01 2019,partial_shading,0.21,20.9,98.69,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:02 2019,partial_shading,0.2,20.41,98.98,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:03 2019,partial_shading,0.21,21.66,99.25,,full_shading,0.21,2.85,13.5
Thu Nov 21 11:05:04 2019,partial_shading,0.2,20.78,99.09,,full_shading,0.21,2.85,13.51
Thu Nov 21 11:05:05 2019,partial_shading,0.21,20.92,99.51,,full_shading,0.20,2.73,13.49
Thu Nov 21 11:05:06 2019,partial_shading,0.21,20.9,99.51,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:07 2019,partial_shading,0.21,20.9,99.54,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:08 2019,partial_shading,0.21,20.92,99.55,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:05:09 2019,partial_shading,0.21,21.02,99.51,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:10 2019,partial_shading,0.21,21.54,98.84,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:11 2019,partial_shading,0.22,21.89,98.91,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:12 2019,partial_shading,0.22,22.4,101.08,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:05:13 2019,partial_shading,0.22,22.4,101.13,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:14 2019,partial_shading,0.22,23.02,102.13,,full_shading,0.20,2.73,13.49
Thu Nov 21 11:05:15 2019,partial_shading,0.23,23.66,102.23,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:16 2019,partial_shading,0.21,21.91,101,,full_shading,0.19,2.6,13.51
Thu Nov 21 11:05:17 2019,partial_shading,0.23,23.66,102.7,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:18 2019,partial_shading,0.23,24.03,102.79,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:19 2019,partial_shading,0.23,24.3,102.85,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:20 2019,partial_shading,0.23,24.67,102.9,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:21 2019,partial_shading,0.24,25.04,103.44,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:22 2019,partial_shading,0.24,25.42,103.95,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:23 2019,partial_shading,0.24,24.9,103.42,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:05:24 2019,partial_shading,0.23,24.42,103.32,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:25 2019,partial_shading,0.23,24.55,103.77,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:26 2019,partial_shading,0.23,24.28,103.75,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:27 2019,partial_shading,0.23,24.16,104.64,,full_shading,0.21,2.85,13.51
Thu Nov 21 11:05:28 2019,partial_shading,0.23,24.03,104.1,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:29 2019,partial_shading,0.23,24.28,104.65,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:30 2019,partial_shading,0.23,24.3,104.64,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:31 2019,partial_shading,0.23,24.55,104.63,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:32 2019,partial_shading,0.23,24.16,104.63,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:33 2019,partial_shading,0.22,23.16,105.25,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:34 2019,partial_shading,0.22,23.16,105.3,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:35 2019,partial_shading,0.22,23.78,104.57,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:05:36 2019,partial_shading,0.22,23.93,104.56,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:05:37 2019,partial_shading,0.22,23.91,104.57,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:38 2019,partial_shading,0.22,23.91,104.54,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:39 2019,partial_shading,0.23,23.93,103.65,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:40 2019,partial_shading,0.22,23.8,104.54,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:41 2019,partial_shading,0.22,24.03,104.58,,full_shading,0.21,2.85,13.5
Thu Nov 21 11:05:42 2019,partial_shading,0.24,25.29,103.97,,full_shading,0.20,2.72,13.54
Thu Nov 21 11:05:43 2019,partial_shading,0.23,24.05,103.26,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:44 2019,partial_shading,0.23,24.16,104.18,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:45 2019,partial_shading,0.23,24.03,104.16,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:46 2019,partial_shading,0.23,24.3,103.72,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:47 2019,partial_shading,0.23,24.05,104.12,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:05:48 2019,partial_shading,0.23,24.18,104.15,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:49 2019,partial_shading,0.24,25.54,103.62,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:05:50 2019,partial_shading,0.23,24.55,103.8,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:05:51 2019,partial_shading,0.23,24.67,103.84,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:05:52 2019,partial_shading,0.23,24.92,103.88,,full_shading,0.20,2.73,13.53
