Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:42:58 2019,normal,0.71,67.76,95.18,,water,0.6,35.01,57.77
Mon Nov 25 13:42:59 2019,normal,0.71,67.9,95.19,,water,0.61,34.88,56.81
Mon Nov 25 13:43:00 2019,normal,0.71,67.85,95.19,,water,0.59,33.69,56.84
Mon Nov 25 13:43:01 2019,normal,0.71,67.57,95.18,,water,0.6,35.14,57.65
Mon Nov 25 13:43:02 2019,normal,0.71,67.71,95.18,,water,0.58,33.95,57.63
Mon Nov 25 13:43:03 2019,normal,0.71,67.62,95.19,,water,0.59,34.1,57.77
Mon Nov 25 13:43:04 2019,normal,0.7,67.3,95.17,,water,0.59,34.72,57.91
Mon Nov 25 13:43:05 2019,normal,0.7,67.3,95.16,,water,0.58,33.82,57.88
Mon Nov 25 13:43:06 2019,normal,0.7,67.17,95.16,,water,0.58,33.69,57.61
Mon Nov 25 13:43:07 2019,normal,0.7,66.9,94.78,,water,0.58,33.43,57.61
Mon Nov 25 13:43:08 2019,normal,0.7,67.03,95.13,,water,0.58,33.43,57.59
Mon Nov 25 13:43:09 2019,normal,0.69,66.17,95.08,,water,0.57,33.04,57.56
Mon Nov 25 13:43:10 2019,normal,0.69,66.49,95.46,,water,0.58,33.95,57.72
Mon Nov 25 13:43:11 2019,normal,0.69,66.76,95.84,,water,0.58,33.69,57.74
Mon Nov 25 13:43:12 2019,normal,0.69,66.76,95.84,,water,0.57,33.04,57.71
Mon Nov 25 13:43:13 2019,normal,0.69,66.49,95.85,,water,0.58,33.82,57.73
Mon Nov 25 13:43:14 2019,normal,0.69,66.76,95.86,,water,0.59,34.21,57.86
Mon Nov 25 13:43:15 2019,normal,0.69,66.85,95.87,,water,0.57,33.43,57.9
Mon Nov 25 13:43:16 2019,normal,0.69,66.76,95.86,,water,0.56,32.79,57.57
Mon Nov 25 13:43:17 2019,normal,0.69,66.62,95.83,,water,0.58,33.92,57.57
Mon Nov 25 13:43:18 2019,normal,0.69,66.17,95.81,,water,0.56,32.53,57.83
Mon Nov 25 13:43:19 2019,normal,0.69,66.49,95.83,,water,0.56,31.99,56.71
Mon Nov 25 13:43:20 2019,normal,0.69,66.22,95.83,,water,0.57,32.76,56.69
Mon Nov 25 13:43:21 2019,normal,0.69,66.3,95.82,,water,0.56,31.99,56.54
Mon Nov 25 13:43:22 2019,normal,0.69,66.54,95.83,,water,0.57,33.02,57.65
Mon Nov 25 13:43:23 2019,normal,0.69,66.35,95.81,,water,0.57,32.89,57.64
Mon Nov 25 13:43:24 2019,normal,0.69,66.62,95.84,,water,0.57,32.92,57.68
Mon Nov 25 13:43:25 2019,normal,0.69,66.67,95.83,,water,0.57,33.3,57.82
Mon Nov 25 13:43:26 2019,normal,0.69,66.76,95.85,,water,0.58,33.79,57.83
Mon Nov 25 13:43:27 2019,normal,0.69,66.57,95.82,,water,0.57,33.02,57.8
Mon Nov 25 13:43:28 2019,normal,0.69,66.76,95.88,,water,0.56,33.02,58.1
Mon Nov 25 13:43:29 2019,normal,0.69,66.62,95.85,,water,0.57,33.15,58.08
Mon Nov 25 13:43:30 2019,normal,0.67,65.49,96.52,,water,0.55,32.25,58.1
Mon Nov 25 13:43:31 2019,normal,0.7,67.08,95.47,,water,0.55,32.4,58.09
Mon Nov 25 13:43:32 2019,normal,0.69,66.76,95.5,,water,0.57,33.15,58.08
Mon Nov 25 13:43:33 2019,normal,0.7,66.9,95.49,,water,0.57,33.54,58.09
Mon Nov 25 13:43:34 2019,normal,0.69,66.67,95.44,,water,0.54,31.86,57.96
Mon Nov 25 13:43:35 2019,normal,0.69,66.49,95.44,,water,0.55,31.99,57.92
Mon Nov 25 13:43:36 2019,normal,0.7,66.9,95.47,,water,0.58,33.79,57.97
