Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 12:40:00 2019,normal,2.22,202.3,90.36,,normal,2.27,196.3,86.11
Thu Nov 21 12:40:01 2019,normal,2.22,201.6,90.34,,normal,2.28,196.3,86.07
Thu Nov 21 12:40:02 2019,normal,2.22,201.5,90.33,,normal,2.28,196.3,86.08
Thu Nov 21 12:40:03 2019,normal,2.16,195.72,90.57,,normal,2.28,196.43,86.07
Thu Nov 21 12:40:04 2019,normal,2.2,201.6,91.04,,normal,2.28,196.43,86.05
Thu Nov 21 12:40:05 2019,normal,2.2,201.76,91.04,,normal,2.28,196.43,86.06
Thu Nov 21 12:40:06 2019,normal,2.2,201.6,91.02,,normal,2.27,196.02,86.09
Thu Nov 21 12:40:07 2019,normal,2.2,201.88,91,,normal,2.27,196.16,86.13
Thu Nov 21 12:40:08 2019,normal,2.2,201.88,91.02,,normal,2.28,196.3,86.06
Thu Nov 21 12:40:09 2019,normal,2.2,201.76,91.04,,normal,2.27,196.17,86.13
Thu Nov 21 12:40:10 2019,normal,2.2,201.22,91.01,,normal,2.27,196.3,86.1
Thu Nov 21 12:40:11 2019,normal,2.2,201.6,91.04,,normal,2.28,196.43,86.09
Thu Nov 21 12:40:12 2019,normal,2.2,201.34,91.03,,normal,2.28,196.44,86.11
Thu Nov 21 12:40:13 2019,normal,2.2,201.08,90.99,,normal,2.28,196.43,86.09
Thu Nov 21 12:40:14 2019,normal,2.2,201.5,91.01,,normal,2.27,196.16,86.11
Thu Nov 21 12:40:15 2019,normal,2.2,200.8,91,,normal,2.27,196.16,86.09
Thu Nov 21 12:40:16 2019,normal,2.2,200.8,91,,normal,2.28,196.3,86.09
Thu Nov 21 12:40:17 2019,normal,2.2,201.22,91.01,,normal,2.28,196.3,86.08
Thu Nov 21 12:40:18 2019,normal,2.2,200.54,90.65,,normal,2.28,196.44,86.13
Thu Nov 21 12:40:19 2019,normal,2.2,200.54,90.99,,normal,2.28,196.44,86.09
Thu Nov 21 12:40:20 2019,normal,2.2,201.08,91.34,,normal,2.28,196.58,86.12
Thu Nov 21 12:40:21 2019,normal,2.18,200.8,91.67,,normal,2.27,196.3,86.13
Thu Nov 21 12:40:22 2019,normal,2.18,200.7,91.67,,normal,2.27,196.16,86.06
Thu Nov 21 12:40:23 2019,normal,2.18,200.7,91.66,,normal,2.28,196.44,86.05
Thu Nov 21 12:40:24 2019,normal,2.18,201.08,91.68,,normal,2.28,196.43,86.13
Thu Nov 21 12:40:25 2019,normal,2.18,200.54,91.67,,normal,2.28,196.3,86.09
Thu Nov 21 12:40:26 2019,normal,2.18,200.8,91.67,,normal,2.27,196.16,86.11
Thu Nov 21 12:40:27 2019,normal,2.18,200.54,91.66,,normal,2.27,196.16,86.1
Thu Nov 21 12:40:28 2019,normal,2.18,200.96,91.67,,normal,2.28,196.3,86.07
Thu Nov 21 12:40:29 2019,normal,2.18,200.28,91.66,,normal,2.28,196.44,86.09
Thu Nov 21 12:40:30 2019,normal,2.18,200.54,91.69,,normal,2.28,196.3,86.05
Thu Nov 21 12:40:31 2019,normal,2.18,200.16,91.65,,normal,2.28,196.71,86.09
Thu Nov 21 12:40:32 2019,normal,2.18,200,91.64,,normal,2.28,196.44,86.12
Thu Nov 21 12:40:33 2019,normal,2.18,200.16,90.99,,normal,2.27,196.16,86.11
Thu Nov 21 12:40:34 2019,normal,2.18,198.94,90.98,,normal,2.28,196.44,86.09
